,round,avg_test_acc,avg_test_loss,avg_train_loss
0,0,0.7895833333333333,136.63509653011957,2.091893801806678
1,1,0.8916333333333334,125.40667533874512,1.6333246135935537
2,2,0.9057,123.66237924496333,1.5737368193030916
3,3,0.91555,122.72270224491756,1.5554821338032332
4,4,0.9336333333333334,121.31266550223033,1.5426250847292617
5,5,0.9419833333333333,120.50846793254216,1.5245119916021543
6,6,0.9466166666666668,120.07528573274612,1.5161443938951535
7,7,0.9523166666666668,119.65275663137436,1.5097386158408135
8,8,0.9541499999999999,119.40530165036519,1.5044615754219288
9,9,0.9577833333333334,119.1123048265775,1.5001379889501651
